,Time,Recommendations
0,00:00:00,"Modem,Fridge,Router,Speakers,Laptop,Monitor,Server,Server_hdd"
1,00:30:00,"Modem,Fridge,Router,Speakers,Laptop,Server,Monitor,Server_hdd"
2,01:00:00,"Modem,Fridge,Router,Speakers,Server,Server_hdd,Laptop,Monitor"
3,01:30:00,"Modem,Fridge,Router,Speakers,Server,Server_hdd,Laptop,Monitor"
4,02:00:00,"Modem,Fridge,Router,Speakers,Server,Server_hdd,Laptop,Monitor"
5,02:30:00,"Modem,Fridge,Router,Speakers,Server,Server_hdd,Laptop,Monitor"
6,03:00:00,"Modem,Fridge,Router,Speakers,Server,Server_hdd,Laptop,Monitor"
7,03:30:00,"Modem,Fridge,Router,Speakers,Server,Server_hdd,Laptop"
8,04:00:00,"Modem,Fridge,Router,Speakers,Server,Server_hdd"
9,04:30:00,"Modem,Fridge,Router,Speakers,Server,Server_hdd"
10,05:00:00,"Modem,Fridge,Router,Speakers,Server,Server_hdd,Laptop,Kettle"
11,05:30:00,"Modem,Fridge,Router,Speakers,Server,Server_hdd,Kettle,Laptop,Monitor"
12,06:00:00,"Modem,Fridge,Router,Speakers,Server,Server_hdd,Monitor,Laptop,Kettle"
13,06:30:00,"Modem,Fridge,Router,Speakers,Server,Laptop,Monitor,Server_hdd,Kettle,Laptop2"
14,07:00:00,"Modem,Fridge,Router,Laptop,Speakers,Monitor,Server,Server_hdd,Kettle,Laptop2"
15,07:30:00,"Modem,Fridge,Laptop,Monitor,Router,Speakers,Server,Server_hdd,Kettle,Laptop2,Microwave"
16,08:00:00,"Modem,Fridge,Laptop,Monitor,Speakers,Router,Server,Server_hdd,Laptop2,Kettle,Washing Machine"
17,08:30:00,"Modem,Fridge,Laptop,Monitor,Speakers,Router,Server,Server_hdd,Laptop2,Kettle,Washing Machine"
18,09:00:00,"Modem,Fridge,Laptop,Monitor,Speakers,Router,Server,Server_hdd,Laptop2,Kettle,Washing Machine"
19,09:30:00,"Modem,Fridge,Monitor,Laptop,Speakers,Router,Server,Server_hdd,Laptop2,Kettle,Washing Machine"
20,10:00:00,"Modem,Laptop,Monitor,Fridge,Speakers,Router,Server,Server_hdd,Laptop2,Kettle,Washing Machine"
21,10:30:00,"Modem,Laptop,Monitor,Speakers,Fridge,Router,Server,Server_hdd,Laptop2,Kettle,Microwave"
22,11:00:00,"Modem,Laptop,Monitor,Speakers,Fridge,Router,Server,Server_hdd,Laptop2,Kettle,Microwave,Washing Machine"
23,11:30:00,"Modem,Laptop,Monitor,Speakers,Fridge,Router,Server,Server_hdd,Laptop2,Microwave,Kettle,Washing Machine"
24,12:00:00,"Modem,Laptop,Monitor,Speakers,Fridge,Router,Server,Server_hdd,Laptop2,Kettle,Microwave,Washing Machine"
25,12:30:00,"Modem,Laptop,Monitor,Speakers,Fridge,Router,Server,Server_hdd,Laptop2,Kettle,Microwave,Washing Machine"
26,13:00:00,"Modem,Laptop,Monitor,Speakers,Fridge,Router,Server,Server_hdd,Laptop2,Kettle"
27,13:30:00,"Modem,Laptop,Monitor,Speakers,Fridge,Router,Server,Laptop2,Server_hdd,Kettle"
28,14:00:00,"Modem,Laptop,Speakers,Monitor,Fridge,Router,Server,Server_hdd,Laptop2,Kettle"
29,14:30:00,"Modem,Laptop,Monitor,Speakers,Fridge,Router,Server,Server_hdd,Laptop2,Kettle"
30,15:00:00,"Modem,Laptop,Monitor,Speakers,Fridge,Router,Server,Server_hdd,Laptop2,Kettle,Running Machine"
31,15:30:00,"Modem,Laptop,Monitor,Speakers,Fridge,Router,Server,Server_hdd,Laptop2,Kettle,Running Machine"
32,16:00:00,"Modem,Laptop,Speakers,Monitor,Fridge,Router,Server,Server_hdd,Laptop2,Kettle,Rice Cooker,Running Machine,Cooker"
33,16:30:00,"Laptop,Modem,Speakers,Monitor,Fridge,Router,Server,Laptop2,Server_hdd,Kettle,Cooker,Rice Cooker,Running Machine"
34,17:00:00,"Laptop,Modem,Speakers,Monitor,Fridge,Router,Kettle,Server,Laptop2,Cooker,Server_hdd,Rice Cooker,Microwave"
35,17:30:00,"Laptop,Modem,Speakers,Monitor,Fridge,Router,Laptop2,Server,Kettle,Server_hdd,Cooker,Microwave"
36,18:00:00,"Laptop,Modem,Speakers,Monitor,Fridge,Router,Laptop2,Server,Server_hdd,Kettle,Cooker,Microwave,Dish Washer"
37,18:30:00,"Laptop,Speakers,Monitor,Modem,Fridge,Router,Laptop2,Server,Dish Washer,Server_hdd,Kettle"
38,19:00:00,"Laptop,Monitor,Speakers,Modem,Fridge,Laptop2,Router,Dish Washer,Server,Server_hdd,Kettle"
39,19:30:00,"Laptop,Monitor,Speakers,Modem,Fridge,Laptop2,Router,Dish Washer,Server,Kettle,Server_hdd"
40,20:00:00,"Laptop,Monitor,Modem,Speakers,Fridge,Laptop2,Router,Server,Server_hdd,Kettle,Dish Washer"
41,20:30:00,"Laptop,Monitor,Modem,Speakers,Fridge,Laptop2,Router,Server,Server_hdd,Kettle,Dish Washer"
42,21:00:00,"Laptop,Monitor,Modem,Speakers,Fridge,Router,Laptop2,Server,Server_hdd,Kettle,Dish Washer"
43,21:30:00,"Laptop,Monitor,Modem,Speakers,Fridge,Router,Server,Laptop2,Server_hdd,Kettle,Dish Washer"
44,22:00:00,"Modem,Monitor,Laptop,Fridge,Speakers,Router,Server,Server_hdd,Laptop2,Dish Washer"
45,22:30:00,"Modem,Laptop,Fridge,Monitor,Speakers,Router,Server,Server_hdd,Laptop2"
46,23:00:00,"Modem,Fridge,Laptop,Monitor,Speakers,Router,Server,Server_hdd"
47,23:30:00,"Modem,Fridge,Laptop,Speakers,Router,Monitor,Server,Server_hdd"
