,Time,Recommendations
0,00:00:00,
1,00:30:00,
2,01:00:00,
3,01:30:00,
4,02:00:00,
5,02:30:00,
6,03:00:00,
7,03:30:00,
8,04:00:00,
9,04:30:00,
10,05:00:00,
11,05:30:00,
12,06:00:00,
13,06:30:00,
14,07:00:00,
15,07:30:00,
16,08:00:00,
17,08:30:00,
18,09:00:00,
19,09:30:00,
20,10:00:00,
21,10:30:00,
22,11:00:00,
23,11:30:00,
24,12:00:00,
25,12:30:00,
26,13:00:00,
27,13:30:00,
28,14:00:00,
29,14:30:00,
30,15:00:00,
31,15:30:00,
32,16:00:00,
33,16:30:00,
34,17:00:00,
35,17:30:00,
36,18:00:00,
37,18:30:00,
38,19:00:00,
39,19:30:00,
40,20:00:00,Projector
41,20:30:00,Projector
42,21:00:00,Projector
43,21:30:00,Projector
44,22:00:00,Projector
45,22:30:00,Projector
46,23:00:00,Projector
47,23:30:00,
